lex	word	case	POS	number	gender
товарищ	товарищ	nomn	NOUN	sing	masc
последний	последний	nomn	ADJF	sing	masc
наверно	наверно		ADVB		
я	мной	ablt	NPRO	sing	
женщина	женщина	nomn	NOUN	sing	femn
синий	синем	loct	ADJF	sing	masc
пальто	пальто	nomn	NOUN	sing	neut
значит	значит		CONJ		
щас	щас		ADVB		
прийти	придёт		VERB	sing	
становиться	становитесь		VERB	plur	
я	мной	ablt	NPRO	sing	
пока	пока		ADVB		
быть	будете		VERB	plur	
стоять	стоять		INFN		
минута	минуту	accs	NOUN	sing	femn
отойти	отойти		INFN		
xотёл	xотёл	nomn	NOUN	sing	masc
буквально	буквально		ADVB		
минута	минуту	accs	NOUN	sing	femn
наверно	наверно		ADVB		
дождаться	дождаться		INFN		
подойти	подойдут		VERB	plur	
объяснить	объяснить		INFN		
подождать	подождите		VERB	plur	
сказать	сказала		VERB	sing	femn
быстро	быстро		ADVB		
ладный	ладно		ADJS	sing	neut
подождать	подожду		VERB	sing	
давно	давно		ADVB		
стоять	стоите		VERB	plur	
очень	очень		ADVB		
знаете	знаете		CONJ		
сколько	сколько		CONJ		
давать	дают		VERB	plur	
черта	черт	gent	NOUN	plur	femn
иx	иx				
знать	знает		VERB	sing	
спрашивать	спрашивал		VERB	sing	masc
знаете	знаете		CONJ		
сколько	сколько		CONJ		
давать	дают		VERB	plur	
сегодня	сегодня		ADVB		
знать	знаю		VERB	sing	
слышать	слышала		VERB	sing	femn
вчера	вчера		ADVB		
давать	давали		VERB	plur	
ага	ага		INTJ		
четыре	четыре	nomn	NUMR		
мало	мало		ADVB		
стоять	стоять		INFN		
смысл	смысла	gent	NOUN	sing	masc
занять	займите		VERB	plur	
два	две	nomn	NUMR		femn
очередь	очереди	datv	NOUN	sing	femn
приезжий	приезжие	nomn	ADJF	plur	
занимать	занимают		VERB	plur	
ага	ага		INTJ		
это	это		PRCL		
целый	целый	accs	ADJF	sing	masc
день	день	accs	NOUN	sing	masc
стоять	стоять		INFN		
быстро	быстро		ADVB		
отпускать	отпускают		VERB	plur	
вериться	верится		VERB	sing	
вон	вон		ADVB		
место	места	gent	NOUN	sing	neut
сдвинуться	сдвинулись		VERB	plur	
это	это		PRCL		
подойти	подошли		VERB	plur	
который	которые	nomn	ADJF	plur	
отxодиля	отxодили	gent	NOUN	sing	femn
отойти	отойдут		VERB	plur	
подваливать	подваливают		VERB	plur	
щас	щас		ADVB		
быстро	быстро		ADVB		
